Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
2072,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,RightControllerPosition,0.10072853416204453,0.6622313261032104,0.25173524022102356
2156,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
2156,,,,2022-10-19 9:37:07 AM,FingerFollowData,,,RightControllerPosition,0.1006685346364975,0.6623960733413696,0.25165873765945435
2239,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
2239,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,RightControllerPosition,0.10067114233970642,0.6623952388763428,0.2516520619392395
2323,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
2323,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,RightControllerPosition,0.10066859424114227,0.6623952984809875,0.251662015914917
2406,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
2406,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,RightControllerPosition,0.10066898912191391,0.6623984575271606,0.2516460120677948
2490,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
2490,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,RightControllerPosition,0.10139203816652298,0.6630103588104248,0.25202950835227966
2573,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
2573,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,RightControllerPosition,0.10179204493761063,0.6641716361045837,0.25255271792411804
2657,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
2657,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,RightControllerPosition,0.10319209098815918,0.6657195687294006,0.25360414385795593
2741,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
2741,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,RightControllerPosition,0.10275529325008392,0.665812611579895,0.25349563360214233
2824,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
2824,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,RightControllerPosition,0.10188622027635574,0.6654735803604126,0.2539190649986267
2908,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
2908,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,RightControllerPosition,0.10097569227218628,0.6649804711341858,0.2541629374027252
2991,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
2991,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,RightControllerPosition,0.10061389952898026,0.6645631194114685,0.2542884945869446
3075,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
3075,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,RightControllerPosition,0.10035929083824158,0.6642708778381348,0.25414079427719116
3158,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
3158,,,,2022-10-19 9:37:08 AM,FingerFollowData,,,RightControllerPosition,0.10022866725921631,0.6643334627151489,0.25361448526382446
3242,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
3242,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,RightControllerPosition,0.10026545822620392,0.6645078063011169,0.25286877155303955
3325,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
3325,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,RightControllerPosition,0.10050410032272339,0.6644869446754456,0.2521943747997284
3395,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
3395,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,RightControllerPosition,0.10078077763319016,0.6641514301300049,0.25166055560112
3479,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
3479,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,RightControllerPosition,0.1008019670844078,0.6636531949043274,0.2514905035495758
3562,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
3562,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,RightControllerPosition,0.10083450376987457,0.6633877754211426,0.2512514591217041
3646,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
3646,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,RightControllerPosition,0.10109825432300568,0.6630791425704956,0.2511991262435913
3730,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
3730,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,RightControllerPosition,0.10125743597745895,0.6630526781082153,0.2511414885520935
3813,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
3813,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,RightControllerPosition,0.10130864381790161,0.6631031632423401,0.2510266602039337
3897,,,,2022-10-19 9:37:09 AM,FingerFollowData,,,LeftControllerPosition,-0.8328570127487183,0.7564110159873962,0.30681583285331726
