_id,Value.Time,Value.ElapsedTime,Value.Type,Value.PatientID,Value.TrialID,Value.Mode,Value.ToolEnded,Value.Repetitions,Value.ToolData,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
6504649488f911d6b5fc693b,9/15/2023 10:05,3742,RightControllerPosition,,,,,,FingerFollowData,0.024395041,0.61516434,0.230466902,,,,
6504649488f911d6b5fc693d,9/15/2023 10:05,3826,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649488f911d6b5fc693f,9/15/2023 10:05,3826,RightControllerPosition,,,,,,FingerFollowData,0.035266045,0.601226985,0.250109851,,,,
6504649588f911d6b5fc6941,9/15/2023 10:05,3910,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649588f911d6b5fc6943,9/15/2023 10:05,3910,RightControllerPosition,,,,,,FingerFollowData,0.036306277,0.602294862,0.263209283,,,,
6504649588f911d6b5fc6945,9/15/2023 10:05,3993,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649588f911d6b5fc6947,9/15/2023 10:05,3993,RightControllerPosition,,,,,,FingerFollowData,0.031098573,0.594469905,0.259946138,,,,
6504649588f911d6b5fc6949,9/15/2023 10:05,4077,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649588f911d6b5fc694b,9/15/2023 10:05,4077,RightControllerPosition,,,,,,FingerFollowData,0.025354326,0.599018931,0.25571385,,,,
6504649588f911d6b5fc694d,9/15/2023 10:05,4159,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649588f911d6b5fc694f,9/15/2023 10:05,4159,RightControllerPosition,,,,,,FingerFollowData,0.027503574,0.594036758,0.257273704,,,,
6504649588f911d6b5fc6951,9/15/2023 10:05,4243,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649588f911d6b5fc6953,9/15/2023 10:05,4243,RightControllerPosition,,,,,,FingerFollowData,0.030167684,0.596264184,0.25803861,,,,
6504649588f911d6b5fc6955,9/15/2023 10:05,4326,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649588f911d6b5fc6957,9/15/2023 10:05,4326,RightControllerPosition,,,,,,FingerFollowData,0.029687641,0.595421314,0.256889641,,,,
6504649588f911d6b5fc695a,9/15/2023 10:05,4410,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649588f911d6b5fc695c,9/15/2023 10:05,4410,RightControllerPosition,,,,,,FingerFollowData,0.02613429,0.593721449,0.255480617,,,,
6504649588f911d6b5fc695e,9/15/2023 10:05,4494,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649588f911d6b5fc6960,9/15/2023 10:05,4494,RightControllerPosition,,,,,,FingerFollowData,0.02268712,0.593042552,0.253753304,,,,
6504649588f911d6b5fc6962,9/15/2023 10:05,4577,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649588f911d6b5fc6964,9/15/2023 10:05,4577,RightControllerPosition,,,,,,FingerFollowData,0.020425394,0.592534423,0.252346277,,,,
6504649588f911d6b5fc6966,9/15/2023 10:05,4661,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649588f911d6b5fc6968,9/15/2023 10:05,4661,RightControllerPosition,,,,,,FingerFollowData,0.019957183,0.592768133,0.25186342,,,,
6504649588f911d6b5fc696a,9/15/2023 10:05,4744,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649588f911d6b5fc696c,9/15/2023 10:05,4744,RightControllerPosition,,,,,,FingerFollowData,0.019599307,0.592789471,0.25143683,,,,
6504649588f911d6b5fc696f,9/15/2023 10:05,4814,LeftControllerPosition,,,,,,FingerFollowData,1.358810902,0.862041533,-1.12229383,,,,
6504649588f911d6b5fc6971,9/15/2023 10:05,4814,RightControllerPosition,,,,,,FingerFollowData,0.019232893,0.592732251,0.251484215,,,,
