Value.ElapsedTime,Value.Repetitions,Value.Scenario,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Delay,Value.CurrentRepetition
1838,,,2022-10-20 10:53:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1838,,,2022-10-20 10:53:48 AM,FingerNoseData,,,RightControllerPosition,-0.06299905478954315,0.9957273602485657,0.42131951451301575,,
1909,,,2022-10-20 10:53:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1909,,,2022-10-20 10:53:48 AM,FingerNoseData,,,RightControllerPosition,-0.06338869780302048,0.9995200037956238,0.4246329367160797,,
1992,,,2022-10-20 10:53:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
1992,,,2022-10-20 10:53:48 AM,FingerNoseData,,,RightControllerPosition,-0.063587985932827,0.9954109191894531,0.4262050986289978,,
2076,,,2022-10-20 10:53:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
2076,,,2022-10-20 10:53:48 AM,FingerNoseData,,,RightControllerPosition,-0.06403570622205734,0.9987225532531738,0.4249800741672516,,
2159,,,2022-10-20 10:53:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
2159,,,2022-10-20 10:53:48 AM,FingerNoseData,,,RightControllerPosition,-0.06319866329431534,0.9988025426864624,0.423164427280426,,
2243,,,2022-10-20 10:53:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
2243,,,2022-10-20 10:53:48 AM,FingerNoseData,,,RightControllerPosition,-0.06059368699789047,0.9939917325973511,0.42083850502967834,,
2327,,,2022-10-20 10:53:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
2327,,,2022-10-20 10:53:48 AM,FingerNoseData,,,RightControllerPosition,-0.057941313832998276,0.975170373916626,0.4167194366455078,,
2410,,,2022-10-20 10:53:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
2410,,,2022-10-20 10:53:48 AM,FingerNoseData,,,RightControllerPosition,-0.05750715360045433,0.9362933039665222,0.4146716296672821,,
2479,,,2022-10-20 10:53:48 AM,,,,FingerNoseData,,,,2479,1
2494,,,2022-10-20 10:53:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
2494,,,2022-10-20 10:53:48 AM,FingerNoseData,,,RightControllerPosition,-0.05549371987581253,0.9014485478401184,0.41895538568496704,,
2577,,,2022-10-20 10:53:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
2577,,,2022-10-20 10:53:48 AM,FingerNoseData,,,RightControllerPosition,-0.05458219721913338,0.8853110074996948,0.4245756268501282,,
2661,,,2022-10-20 10:53:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
2661,,,2022-10-20 10:53:48 AM,FingerNoseData,,,RightControllerPosition,-0.0528419204056263,0.8829460740089417,0.43029212951660156,,
2744,,,2022-10-20 10:53:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
2744,,,2022-10-20 10:53:48 AM,FingerNoseData,,,RightControllerPosition,-0.057508718222379684,0.9192633032798767,0.41842788457870483,,
2828,,,2022-10-20 10:53:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
2828,,,2022-10-20 10:53:49 AM,FingerNoseData,,,RightControllerPosition,-0.06518349051475525,0.973593533039093,0.3862755000591278,,
2911,,,2022-10-20 10:53:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
2911,,,2022-10-20 10:53:49 AM,FingerNoseData,,,RightControllerPosition,-0.06528807431459427,1.0277198553085327,0.3298012316226959,,
2995,,,2022-10-20 10:53:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
2995,,,2022-10-20 10:53:49 AM,FingerNoseData,,,RightControllerPosition,-0.05916455760598183,1.060323715209961,0.2598732113838196,,
3079,,,2022-10-20 10:53:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
3079,,,2022-10-20 10:53:49 AM,FingerNoseData,,,RightControllerPosition,-0.05084952339529991,1.0831695795059204,0.18311156332492828,,
3162,,,2022-10-20 10:53:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
3162,,,2022-10-20 10:53:49 AM,FingerNoseData,,,RightControllerPosition,-0.04058406502008438,1.0994553565979004,0.10998865962028503,,
3246,,,2022-10-20 10:53:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
3246,,,2022-10-20 10:53:49 AM,FingerNoseData,,,RightControllerPosition,-0.025787940248847008,1.1080338954925537,0.05401701107621193,,
3329,,,2022-10-20 10:53:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
3329,,,2022-10-20 10:53:49 AM,FingerNoseData,,,RightControllerPosition,-0.022366996854543686,1.1044780015945435,0.041477277874946594,,
3413,,,2022-10-20 10:53:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
3413,,,2022-10-20 10:53:49 AM,FingerNoseData,,,RightControllerPosition,-0.03282127529382706,1.1039965152740479,0.07707838714122772,,
3496,,,2022-10-20 10:53:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
3496,,,2022-10-20 10:53:49 AM,FingerNoseData,,,RightControllerPosition,-0.0482688769698143,1.104418396949768,0.14087557792663574,,
3580,,,2022-10-20 10:53:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
3580,,,2022-10-20 10:53:49 AM,FingerNoseData,,,RightControllerPosition,-0.06809214502573013,1.1004422903060913,0.21813707053661346,,
3663,,,2022-10-20 10:53:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
3663,,,2022-10-20 10:53:49 AM,FingerNoseData,,,RightControllerPosition,-0.082112617790699,1.0918911695480347,0.3011341392993927,,
3747,,,2022-10-20 10:53:49 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
3747,,,2022-10-20 10:53:49 AM,FingerNoseData,,,RightControllerPosition,-0.0907621681690216,1.076473593711853,0.36248746514320374,,
3830,,,2022-10-20 10:53:50 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
3830,,,2022-10-20 10:53:50 AM,FingerNoseData,,,RightControllerPosition,-0.09636014699935913,1.0656834840774536,0.3977217674255371,,
3872,,,2022-10-20 10:53:50 AM,,,,FingerNoseData,,,,1393,2
3914,,,2022-10-20 10:53:50 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
3914,,,2022-10-20 10:53:50 AM,FingerNoseData,,,RightControllerPosition,-0.0979301780462265,1.0570383071899414,0.4202301800251007,,
3984,,,2022-10-20 10:53:50 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
3984,,,2022-10-20 10:53:50 AM,FingerNoseData,,,RightControllerPosition,-0.09573017805814743,1.0618736743927002,0.4177834391593933,,
4067,,,2022-10-20 10:53:50 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
4067,,,2022-10-20 10:53:50 AM,FingerNoseData,,,RightControllerPosition,-0.09174960106611252,1.0721529722213745,0.3996749818325043,,
4150,,,2022-10-20 10:53:50 AM,FingerNoseData,,,LeftControllerPosition,-0.9473183155059814,0.7321224808692932,-0.27555733919143677,,
4150,,,2022-10-20 10:53:50 AM,FingerNoseData,,,RightControllerPosition,-0.09248966723680496,1.0915157794952393,0.34795597195625305,,
