Value.ElapsedTime,Value.Mode,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.LostFocusTime,Value.CurrentRepetition,Value.TrajectoryRepetitionStart,Value.TrajectoryRepetitionEnd
2937,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.069783896,0,,
2993,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
2993,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.049343389,1.183356047,0.491564035,,,,
3076,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
3076,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.055953987,1.182305217,0.491372198,,,,
3160,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
3160,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.057406142,1.178108335,0.492194086,,,,
3230,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
3230,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.061416831,1.179998159,0.490097553,,,,
3314,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
3314,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.066285476,1.169362068,0.493089527,,,,
3396,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.041776199,0,,
3397,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
3397,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.077989578,1.173573256,0.491878033,,,,
3481,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
3481,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.086033136,1.165322542,0.493162066,,,,
3564,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
3564,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.097049668,1.167827845,0.491138399,,,,
3648,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,1,0
3648,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.096249111,1.158856988,0.491335392,,,1,0
3732,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
3732,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.095968656,1.161942363,0.491175741,,,,
3815,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
3815,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.089210689,1.163496614,0.491281718,,,,
3884,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.361822873,1,,
3898,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
3898,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.085099794,1.163739443,0.492702395,,,,
3982,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
3982,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.085460559,1.169526458,0.493811607,,,,
4037,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.069886103,1,,
4065,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
4065,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.083360091,1.166102529,0.496023804,,,,
4148,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
4148,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.082960807,1.17096734,0.495401949,,,,
4176,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.097501904,1,,
4232,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
4232,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.076358944,1.167379856,0.496057242,,,,
4315,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.0140205,1,,
4315,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
4315,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.069026493,1.170551538,0.492690116,,,,
4385,,,9/28/2022 10:57,,,,FingerFollowData,,,,0.041210201,1,,
4399,,,9/28/2022 10:57,FingerFollowData,,,LeftControllerPosition,-0.826922297,0.792553902,0.117337905,,,,
4399,,,9/28/2022 10:57,FingerFollowData,,,RightControllerPosition,0.066987649,1.174342394,0.493499339,,,,
