Value.ElapsedTime,Value.Time,Value.TimerShowed,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
52707,2022-09-28 11:04:18 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
52707,2022-09-28 11:04:18 AM,,PegboardData,,,RightControllerPosition,0.12398141622543335,-0.22737646102905273,0.521990954875946
52790,2022-09-28 11:04:18 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
52790,2022-09-28 11:04:18 AM,,PegboardData,,,RightControllerPosition,0.12253282219171524,-0.23847796022891998,0.5257737636566162
52873,2022-09-28 11:04:18 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
52873,2022-09-28 11:04:18 AM,,PegboardData,,,RightControllerPosition,0.12189792096614838,-0.23856258392333984,0.521589994430542
52945,2022-09-28 11:04:18 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
52945,2022-09-28 11:04:18 AM,,PegboardData,,,RightControllerPosition,0.11758612096309662,-0.23596686124801636,0.5108686685562134
53040,2022-09-28 11:04:19 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
53040,2022-09-28 11:04:19 AM,,PegboardData,,,RightControllerPosition,0.11441615223884583,-0.228684201836586,0.4930400848388672
53122,2022-09-28 11:04:19 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
53122,2022-09-28 11:04:19 AM,,PegboardData,,,RightControllerPosition,0.10823681950569153,-0.22199232876300812,0.46260303258895874
53193,2022-09-28 11:04:19 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
53193,2022-09-28 11:04:19 AM,,PegboardData,,,RightControllerPosition,0.09842859208583832,-0.22671160101890564,0.431623637676239
53277,2022-09-28 11:04:19 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
53277,2022-09-28 11:04:19 AM,,PegboardData,,,RightControllerPosition,0.09134829789400101,-0.24755975604057312,0.40527644753456116
53361,2022-09-28 11:04:19 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
53361,2022-09-28 11:04:19 AM,,PegboardData,,,RightControllerPosition,0.08712715655565262,-0.26106569170951843,0.38883382081985474
53444,2022-09-28 11:04:19 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
53444,2022-09-28 11:04:19 AM,,PegboardData,,,RightControllerPosition,0.08535421639680862,-0.2742486894130707,0.3756345808506012
