Value.ElapsedTime,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Delay,Value.CurrentRepetition
218951,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.37596896290779114,0.7199282050132751,0.26522788405418396,,
218964,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620217084884644,0.7616016268730164,-0.3110402822494507,,
218964,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.37557631731033325,0.7191022634506226,0.2658859193325043,,
219019,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015672683716,-0.31104040145874023,,
219019,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3747193217277527,0.7179374098777771,0.27134668827056885,,
219034,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016864776611,-0.31104037165641785,,
219034,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.37466946244239807,0.7180697321891785,0.27303874492645264,,
219047,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.96202152967453,0.7616015076637268,-0.3110407888889313,,
219047,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.37464773654937744,0.7184662222862244,0.2750439941883087,,
219103,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016864776611,-0.3110404908657074,,
219103,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3744581639766693,0.7218354940414429,0.28396347165107727,,
219118,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616016268730164,-0.3110404908657074,,
219118,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.374449759721756,0.7229220867156982,0.28627312183380127,,
219131,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015672683716,-0.31104040145874023,,
219131,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.37438449263572693,0.7239184975624084,0.28849324584007263,,
219187,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620217084884644,0.7616016864776611,-0.31104031205177307,,
219187,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3737344741821289,0.727243959903717,0.2960091531276703,,
219201,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015076637268,-0.3110405206680298,,
219201,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.37353047728538513,0.727920651435852,0.29739436507225037,,
219214,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.96202152967453,0.7616015076637268,-0.3110407888889313,,
219214,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.37336277961730957,0.7285122275352478,0.29856160283088684,,
219270,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616015672683716,-0.31104037165641785,,
219270,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3731074929237366,0.7294936180114746,0.2998998463153839,,
219285,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620217084884644,0.7616016864776611,-0.3110402226448059,,
219285,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3731536567211151,0.7296777963638306,0.29987072944641113,,
219298,,2022-10-04 11:25:48 AM,FingerNoseData,,,LeftControllerPosition,-0.9620216488838196,0.7616017460823059,-0.3110404908657074,,
219298,,2022-10-04 11:25:48 AM,FingerNoseData,,,RightControllerPosition,-0.3732016086578369,0.7297589182853699,0.29966023564338684,,
