Value.CurrentRepetition,Value.Delay,Value.ElapsedTime,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
,,2159,,2022-09-28 12:21:19 PM,FingerNoseData,,,RightControllerPosition,-0.05274195224046707,1.0691426992416382,0.20810295641422272
,,2242,,2022-09-28 12:21:19 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611988067627
,,2242,,2022-09-28 12:21:19 PM,FingerNoseData,,,RightControllerPosition,-0.05207682400941849,1.0707417726516724,0.1733182817697525
,,2326,,2022-09-28 12:21:19 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794278264045715,0.11096110194921494
,,2326,,2022-09-28 12:21:19 PM,FingerNoseData,,,RightControllerPosition,-0.04782833531498909,1.0779529809951782,0.14769186079502106
,,2410,,2022-09-28 12:21:19 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794278860092163,0.1109611764550209
,,2410,,2022-09-28 12:21:19 PM,FingerNoseData,,,RightControllerPosition,-0.04822925105690956,1.0774998664855957,0.145499125123024
,,2493,,2022-09-28 12:21:19 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611913561821
,,2493,,2022-09-28 12:21:19 PM,FingerNoseData,,,RightControllerPosition,-0.053576722741127014,1.0831613540649414,0.19255037605762482
,,2564,,2022-09-28 12:21:19 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794280648231506,0.11096116900444031
,,2564,,2022-09-28 12:21:19 PM,FingerNoseData,,,RightControllerPosition,-0.05564425140619278,1.1141273975372314,0.2700754404067993
,,2647,,2022-09-28 12:21:19 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685700416565,0.7794279456138611,0.11096113920211792
,,2647,,2022-09-28 12:21:19 PM,FingerNoseData,,,RightControllerPosition,-0.06068027392029762,1.1631009578704834,0.3741251826286316
,,2731,,2022-09-28 12:21:19 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794278860092163,0.1109611764550209
,,2731,,2022-09-28 12:21:19 PM,FingerNoseData,,,RightControllerPosition,-0.06211426481604576,1.2056427001953125,0.4504145085811615
,,2815,,2022-09-28 12:21:19 PM,FingerNoseData,,,LeftControllerPosition,-0.8166685104370117,0.7794279456138611,0.1109611839056015
