Value.ElapsedTime,Value.Scenario,Value.Time,Value.TimerShowed,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
38171,,2022-10-11 11:42:18 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
38171,,2022-10-11 11:42:18 AM,,PegboardData,,,RightControllerPosition,-0.19613778591156006,0.09970571845769882,0.5594863891601562
38255,,2022-10-11 11:42:18 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
38255,,2022-10-11 11:42:18 AM,,PegboardData,,,RightControllerPosition,-0.18758434057235718,0.1197550892829895,0.5928983688354492
38339,,2022-10-11 11:42:18 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
38339,,2022-10-11 11:42:18 AM,,PegboardData,,,RightControllerPosition,-0.15814486145973206,0.13246528804302216,0.6269688010215759
38419,,2022-10-11 11:42:18 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
38419,,2022-10-11 11:42:18 AM,,PegboardData,,,RightControllerPosition,-0.15855491161346436,0.1441504806280136,0.632481038570404
38505,,2022-10-11 11:42:18 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
38505,,2022-10-11 11:42:18 AM,,PegboardData,,,RightControllerPosition,-0.17388111352920532,0.15234017372131348,0.6326806545257568
38589,,2022-10-11 11:42:18 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
38589,,2022-10-11 11:42:18 AM,,PegboardData,,,RightControllerPosition,-0.19153903424739838,0.14427603781223297,0.6388495564460754
38672,,2022-10-11 11:42:18 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
38672,,2022-10-11 11:42:18 AM,,PegboardData,,,RightControllerPosition,-0.20639574527740479,0.12853752076625824,0.6489521265029907
38756,,2022-10-11 11:42:18 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
38756,,2022-10-11 11:42:18 AM,,PegboardData,,,RightControllerPosition,-0.20900940895080566,0.11190702766180038,0.6614095568656921
38839,,2022-10-11 11:42:19 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
38839,,2022-10-11 11:42:19 AM,,PegboardData,,,RightControllerPosition,-0.20303410291671753,0.09894807636737823,0.6716567277908325
38923,,2022-10-11 11:42:19 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
38923,,2022-10-11 11:42:19 AM,,PegboardData,,,RightControllerPosition,-0.20329655706882477,0.09548275917768478,0.6735982894897461
39004,,2022-10-11 11:42:19 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
39004,,2022-10-11 11:42:19 AM,,PegboardData,,,RightControllerPosition,-0.20564152300357819,0.0945519506931305,0.6746529340744019
39092,,2022-10-11 11:42:19 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
39092,,2022-10-11 11:42:19 AM,,PegboardData,,,RightControllerPosition,-0.2054024189710617,0.0946752279996872,0.6749078035354614
39161,,2022-10-11 11:42:19 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
39161,,2022-10-11 11:42:19 AM,,PegboardData,,,RightControllerPosition,-0.20667770504951477,0.09445148706436157,0.6721749901771545
39255,,2022-10-11 11:42:19 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
39255,,2022-10-11 11:42:19 AM,,PegboardData,,,RightControllerPosition,-0.20467735826969147,0.09816984832286835,0.6616754531860352
39340,,2022-10-11 11:42:19 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
39340,,2022-10-11 11:42:19 AM,,PegboardData,,,RightControllerPosition,-0.2058086395263672,0.10603777319192886,0.6402391791343689
39408,,2022-10-11 11:42:19 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
39408,,2022-10-11 11:42:19 AM,,PegboardData,,,RightControllerPosition,-0.211984783411026,0.10667701810598373,0.6125844120979309
39506,,2022-10-11 11:42:19 AM,,PegboardData,,,LeftControllerPosition,-1.440912127494812,-0.3598732650279999,-0.5893738269805908
39506,,2022-10-11 11:42:19 AM,,PegboardData,,,RightControllerPosition,-0.2273492068052292,0.08386093378067017,0.5562601089477539
